RES_ID,Name,CUSINES,USER RATING,VOTES,RATING TEXT,LATITUDE,LONGITUDE,AVG COST for TWO,CURRENCY
18233317,145 Kala Ghoda,Fast Food,4.2,1606,Very Good,18.9275839910,72.8325845674,1500,Rs.
18233317,145 Kala Ghoda,Beverages,4.2,1606,Very Good,18.9275839910,72.8325845674,1500,Rs.
18435740,38 Degree East,North Indian,3.8,181,Good,19.1219986598,72.9084926386,1000,Rs.
18435740,38 Degree East,Chinese,3.8,181,Good,19.1219986598,72.9084926386,1000,Rs.
18397685,A Bar Called Life,Modern Indian,4.1,101,Very Good,19.1157306965,72.8278900310,1500,Rs.
37237,Candies,Fast Food,4.2,8916,Very Good,19.0607950000,72.8265270000,700,Rs.
37237,Candies,Bakery,4.2,8916,Very Good,19.0607950000,72.8265270000,700,Rs.
37237,Candies,Desserts,4.2,8916,Very Good,19.0607950000,72.8265270000,700,Rs.
37237,Candies,Cafe,4.2,8916,Very Good,19.0607950000,72.8265270000,700,Rs.
36833,Chili's,American,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Mexican,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Tex-Mex,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Salad,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Steak,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Burger,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
36833,Chili's,Chili,4.2,3101,Very Good,19.1161992263,72.9095099866,1800,Rs.
18448467,D:OH!,Fast Food,4.0,148,Very Good,19.0059362290,72.8267930076,800,Rs.
18448467,D:OH!,Italian,4.0,148,Very Good,19.0059362290,72.8267930076,800,Rs.
18234208,Delhi Highway,North Indian,4.0,775,Very Good,19.1080260000,72.8836470000,1200,Rs.
44568,Global Fusion,Chinese,4.3,4303,Very Good,19.1076200000,72.8832040000,3500,Rs.
44568,Global Fusion,Japanese,4.3,4303,Very Good,19.1076200000,72.8832040000,3500,Rs.
44568,Global Fusion,Asian,4.3,4303,Very Good,19.1076200000,72.8832040000,3500,Rs.
18245975,Glocal Junction,Continental,4.0,1421,Very Good,19.1390740000,72.8321570000,1500,Rs.
18245975,Glocal Junction,Fast Food,4.0,1421,Very Good,19.1390740000,72.8321570000,1500,Rs.
18245975,Glocal Junction,North Indian,4.0,1421,Very Good,19.1390740000,72.8321570000,1500,Rs.
18245975,Glocal Junction,Salad,4.0,1421,Very Good,19.1390740000,72.8321570000,1500,Rs.
18388642,Grandmama's Cafe,Continental,3.8,617,Good,19.0914575172,72.8278075531,1100,Rs.
17806994,Mirchi And Mime,North Indian,4.9,3244,Excellent,19.1200826821,72.9073853418,1500,Rs.
17806994,Mirchi And Mime,South Indian,4.9,3244,Excellent,19.1200826821,72.9073853418,1500,Rs.
18463285,Mumbai Vibe,Cafe,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,Continental,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,North Indian,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,Italian,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,Chinese,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,Bakery,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
18463285,Mumbai Vibe,Desserts,3.8,146,Good,19.0658375116,72.8326579928,1000,Rs.
34396,Pizza By The Bay,Italian,4.3,4006,Very Good,18.9334111600,72.8239498700,2000,Rs.
36403,Prithvi Cafe,Cafe,4.5,3962,Excellent,19.1058443767,72.8258394822,800,Rs.
18318116,R' ADDA,Street Food,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,Burger,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,Desserts,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,Italian,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,Pizza,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,North Indian,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18318116,R' ADDA,European,4.0,544,Very Good,19.1093000000,72.8254510000,1200,Rs.
18408295,Stacks And Racks,American,4.6,413,Excellent,19.1812996465,72.8361914909,500,Rs.
18408295,Stacks And Racks,Burger,4.6,413,Excellent,19.1812996465,72.8361914909,500,Rs.
18415164,Summer House Cafe,American,4.4,332,Very Good,19.0002603000,72.8302433000,2000,Rs.
18415164,Summer House Cafe,Lebanese,4.4,332,Very Good,19.0002603000,72.8302433000,2000,Rs.
49486,Tea Villa Cafe,Cafe,3.6,1522,Good,19.1032490000,72.8467490000,1000,Rs.
49486,Tea Villa Cafe,Italian,3.6,1522,Good,19.1032490000,72.8467490000,1000,Rs.
49486,Tea Villa Cafe,Desserts,3.6,1522,Good,19.1032490000,72.8467490000,1000,Rs.
49486,Tea Villa Cafe,Fast Food,3.6,1522,Good,19.1032490000,72.8467490000,1000,Rs.
49486,Tea Villa Cafe,Chinese,3.6,1522,Good,19.1032490000,72.8467490000,1000,Rs.
18458563,The American Joint,Healthy Food,3.4,170,Average,19.2238399000,72.8413473000,850,Rs.
18458563,The American Joint,American,3.4,170,Average,19.2238399000,72.8413473000,850,Rs.
18458563,The American Joint,Burger,3.4,170,Average,19.2238399000,72.8413473000,850,Rs.
18216876,The English Department Bar & Diner,Italian,3.9,892,Good,19.1762686853,72.8367208689,1500,Rs.
18216876,The English Department Bar & Diner,Continental,3.9,892,Good,19.1762686853,72.8367208689,1500,Rs.
18216876,The English Department Bar & Diner,Mexican,3.9,892,Good,19.1762686853,72.8367208689,1500,Rs.
18216876,The English Department Bar & Diner,Japanese,3.9,892,Good,19.1762686853,72.8367208689,1500,Rs.
18216876,The English Department Bar & Diner,American,3.9,892,Good,19.1762686853,72.8367208689,1500,Rs.
18075122,The Fusion Kitchen,North Indian,4.7,2083,Excellent,19.2545670000,72.8489230000,1000,Rs.
18075122,The Fusion Kitchen,Italian,4.7,2083,Excellent,19.2545670000,72.8489230000,1000,Rs.
18075122,The Fusion Kitchen,Chinese,4.7,2083,Excellent,19.2545670000,72.8489230000,1000,Rs.
40714,The Little Door,Italian,4.1,3355,Very Good,19.1392686363,72.8330331668,1400,Rs.
40714,The Little Door,Spanish,4.1,3355,Very Good,19.1392686363,72.8330331668,1400,Rs.
